model,split,condition,n,n_real,n_fake,acc,auroc,precision_fake,recall_fake,fpr,mean_pred,threshold
D3_mix,evalgen_sidreals,clean,4000,2000,2000,0.9645,0.9953,0.9823,0.9460,0.0170,0.4746,0.5000
D3_mix,evalgen_sidreals,jpeg_q90,4000,2000,2000,0.9653,0.9954,0.9844,0.9455,0.0150,0.4746,0.5000
D3_mix,evalgen_sidreals,jpeg_q70,4000,2000,2000,0.9728,0.9976,0.9831,0.9620,0.0165,0.4839,0.5000
D3_mix,evalgen_sidreals,jpeg_q50,4000,2000,2000,0.9700,0.9971,0.9840,0.9555,0.0155,0.4787,0.5000
D3_mix,evalgen_sidreals,jpeg_q30,4000,2000,2000,0.9607,0.9953,0.9797,0.9410,0.0195,0.4714,0.5000
D3_mix,evalgen_sidreals,blur_s05,4000,2000,2000,0.9643,0.9954,0.9833,0.9445,0.0160,0.4735,0.5000
D3_mix,evalgen_sidreals,blur_s10,4000,2000,2000,0.9645,0.9955,0.9834,0.9450,0.0160,0.4726,0.5000
D3_mix,evalgen_sidreals,blur_s20,4000,2000,2000,0.9647,0.9952,0.9824,0.9465,0.0170,0.4743,0.5000
D3_mix,evalgen_sidreals,resize_s05,4000,2000,2000,0.9655,0.9953,0.9824,0.9480,0.0170,0.4740,0.5000
D3_mix,evalgen_sidreals,resize_s025,4000,2000,2000,0.9640,0.9947,0.9774,0.9500,0.0220,0.4790,0.5000
D3_mix,evalgen_sidreals,noise_s002,4000,2000,2000,0.9487,0.9927,0.9787,0.9175,0.0200,0.4596,0.5000
D3_mix,evalgen_sidreals,noise_s005,4000,2000,2000,0.9223,0.9852,0.9673,0.8740,0.0295,0.4422,0.5000
D3_mix,evalgen_sidreals,noise_s010,4000,2000,2000,0.9000,0.9806,0.9695,0.8260,0.0260,0.4177,0.5000
D3_mix,evalgen_sidreals,jitter_p20,4000,2000,2000,0.9603,0.9946,0.9802,0.9395,0.0190,0.4734,0.5000
D3_mix,evalgen_sidreals,crop_p80,4000,2000,2000,0.9540,0.9953,0.9892,0.9180,0.0100,0.4553,0.5000
