model,split,condition,n,n_real,n_fake,acc,auroc,precision_fake,recall_fake,fpr,mean_pred,threshold
clipb16_sid,evalgen_sidreals,clean,4000,2000,2000,0.9457,0.9915,0.9885,0.9020,0.0105,0.4529,0.5000
clipb16_sid,evalgen_sidreals,jpeg_q90,4000,2000,2000,0.9453,0.9917,0.9879,0.9015,0.0110,0.4519,0.5000
clipb16_sid,evalgen_sidreals,jpeg_q70,4000,2000,2000,0.9585,0.9948,0.9883,0.9280,0.0110,0.4660,0.5000
clipb16_sid,evalgen_sidreals,jpeg_q50,4000,2000,2000,0.9537,0.9944,0.9908,0.9160,0.0085,0.4563,0.5000
clipb16_sid,evalgen_sidreals,jpeg_q30,4000,2000,2000,0.9377,0.9929,0.9910,0.8835,0.0080,0.4384,0.5000
clipb16_sid,evalgen_sidreals,blur_s05,4000,2000,2000,0.9440,0.9917,0.9879,0.8990,0.0110,0.4508,0.5000
clipb16_sid,evalgen_sidreals,blur_s10,4000,2000,2000,0.9415,0.9921,0.9906,0.8915,0.0085,0.4458,0.5000
clipb16_sid,evalgen_sidreals,blur_s20,4000,2000,2000,0.9355,0.9922,0.9943,0.8760,0.0050,0.4356,0.5000
clipb16_sid,evalgen_sidreals,resize_s05,4000,2000,2000,0.9410,0.9921,0.9911,0.8900,0.0080,0.4446,0.5000
clipb16_sid,evalgen_sidreals,resize_s025,4000,2000,2000,0.9363,0.9918,0.9955,0.8765,0.0040,0.4344,0.5000
clipb16_sid,evalgen_sidreals,noise_s002,4000,2000,2000,0.9315,0.9887,0.9859,0.8755,0.0125,0.4410,0.5000
clipb16_sid,evalgen_sidreals,noise_s005,4000,2000,2000,0.9225,0.9858,0.9801,0.8625,0.0175,0.4323,0.5000
clipb16_sid,evalgen_sidreals,noise_s010,4000,2000,2000,0.8888,0.9849,0.9899,0.7855,0.0080,0.3917,0.5000
clipb16_sid,evalgen_sidreals,jitter_p20,4000,2000,2000,0.9427,0.9904,0.9900,0.8945,0.0090,0.4463,0.5000
clipb16_sid,evalgen_sidreals,crop_p80,4000,2000,2000,0.9255,0.9901,0.9925,0.8575,0.0065,0.4281,0.5000
