model,split,condition,n,n_real,n_fake,acc,auroc,precision_fake,recall_fake,fpr,mean_pred,threshold
unfreeze4,evalgen_sidreals,clean,4000,2000,2000,0.8898,0.9889,0.9974,0.7815,0.0020,0.3905,0.5000
unfreeze4,evalgen_sidreals,jpeg_q90,4000,2000,2000,0.8848,0.9888,0.9981,0.7710,0.0015,0.3869,0.5000
unfreeze4,evalgen_sidreals,jpeg_q70,4000,2000,2000,0.9070,0.9934,0.9988,0.8150,0.0010,0.4083,0.5000
unfreeze4,evalgen_sidreals,jpeg_q50,4000,2000,2000,0.9093,0.9937,0.9982,0.8200,0.0015,0.4101,0.5000
unfreeze4,evalgen_sidreals,jpeg_q30,4000,2000,2000,0.9135,0.9940,0.9976,0.8290,0.0020,0.4149,0.5000
unfreeze4,evalgen_sidreals,blur_s05,4000,2000,2000,0.8872,0.9889,0.9974,0.7765,0.0020,0.3887,0.5000
unfreeze4,evalgen_sidreals,blur_s10,4000,2000,2000,0.8852,0.9891,0.9974,0.7725,0.0020,0.3862,0.5000
unfreeze4,evalgen_sidreals,blur_s20,4000,2000,2000,0.8790,0.9890,0.9980,0.7595,0.0015,0.3801,0.5000
unfreeze4,evalgen_sidreals,resize_s05,4000,2000,2000,0.8830,0.9890,0.9974,0.7680,0.0020,0.3849,0.5000
unfreeze4,evalgen_sidreals,resize_s025,4000,2000,2000,0.8775,0.9887,0.9980,0.7565,0.0015,0.3795,0.5000
unfreeze4,evalgen_sidreals,noise_s002,4000,2000,2000,0.8450,0.9842,0.9986,0.6910,0.0010,0.3456,0.5000
unfreeze4,evalgen_sidreals,noise_s005,4000,2000,2000,0.8293,0.9828,1.0000,0.6585,0.0000,0.3308,0.5000
unfreeze4,evalgen_sidreals,noise_s010,4000,2000,2000,0.7973,0.9807,0.9992,0.5950,0.0005,0.2976,0.5000
unfreeze4,evalgen_sidreals,jitter_p20,4000,2000,2000,0.8785,0.9882,0.9974,0.7590,0.0020,0.3800,0.5000
unfreeze4,evalgen_sidreals,crop_p80,4000,2000,2000,0.8675,0.9881,0.9993,0.7355,0.0005,0.3664,0.5000
