model,split,condition,n,n_real,n_fake,acc,auroc,precision_fake,recall_fake,fpr,mean_pred,threshold
baseline,official_val,clean,500,250,250,0.9000,0.9696,0.9762,0.8200,0.0200,0.4133,0.5000
baseline,official_val,jpeg_q90,500,250,250,0.9020,0.9708,0.9809,0.8200,0.0160,0.4142,0.5000
baseline,official_val,jpeg_q70,500,250,250,0.8900,0.9706,0.9803,0.7960,0.0160,0.4020,0.5000
baseline,official_val,jpeg_q50,500,250,250,0.8960,0.9703,0.9853,0.8040,0.0120,0.4049,0.5000
baseline,official_val,jpeg_q30,500,250,250,0.8720,0.9654,0.9745,0.7640,0.0200,0.3858,0.5000
baseline,official_val,blur_s05,500,250,250,0.8980,0.9739,0.9807,0.8120,0.0160,0.4049,0.5000
baseline,official_val,blur_s10,500,250,250,0.8860,0.9786,0.9849,0.7840,0.0120,0.3870,0.5000
baseline,official_val,blur_s20,500,250,250,0.8680,0.9786,0.9946,0.7400,0.0040,0.3600,0.5000
baseline,official_val,resize_s05,500,250,250,0.8800,0.9784,0.9897,0.7680,0.0080,0.3807,0.5000
baseline,official_val,resize_s025,500,250,250,0.8620,0.9750,0.9945,0.7280,0.0040,0.3540,0.5000
baseline,official_val,noise_s002,500,250,250,0.8980,0.9695,0.9671,0.8240,0.0280,0.4195,0.5000
baseline,official_val,noise_s005,500,250,250,0.8980,0.9773,0.9807,0.8120,0.0160,0.4144,0.5000
baseline,official_val,noise_s010,500,250,250,0.8740,0.9796,0.9795,0.7640,0.0160,0.3795,0.5000
baseline,official_val,jitter_p20,500,250,250,0.8960,0.9672,0.9760,0.8120,0.0200,0.4035,0.5000
baseline,official_val,crop_p80,500,250,250,0.8260,0.9594,0.9711,0.6720,0.0200,0.3580,0.5000
exp4_res336,official_val,clean,500,250,250,0.8980,0.9752,0.9761,0.8160,0.0200,0.4072,0.5000
exp4_res336,official_val,jpeg_q90,500,250,250,0.9060,0.9734,0.9810,0.8280,0.0160,0.4092,0.5000
exp4_res336,official_val,jpeg_q70,500,250,250,0.9100,0.9752,0.9812,0.8360,0.0160,0.4089,0.5000
exp4_res336,official_val,jpeg_q50,500,250,250,0.9000,0.9715,0.9854,0.8120,0.0120,0.4148,0.5000
exp4_res336,official_val,jpeg_q30,500,250,250,0.8900,0.9668,0.9756,0.8000,0.0200,0.4016,0.5000
exp4_res336,official_val,blur_s05,500,250,250,0.8940,0.9817,0.9852,0.8000,0.0120,0.3939,0.5000
exp4_res336,official_val,blur_s10,500,250,250,0.8720,0.9879,1.0000,0.7440,0.0000,0.3665,0.5000
exp4_res336,official_val,blur_s20,500,250,250,0.8280,0.9857,1.0000,0.6560,0.0000,0.3236,0.5000
exp4_res336,official_val,resize_s05,500,250,250,0.8620,0.9867,1.0000,0.7240,0.0000,0.3589,0.5000
exp4_res336,official_val,resize_s025,500,250,250,0.8140,0.9804,0.9937,0.6320,0.0040,0.3116,0.5000
exp4_res336,official_val,noise_s002,500,250,250,0.8980,0.9784,0.9807,0.8120,0.0160,0.4045,0.5000
exp4_res336,official_val,noise_s005,500,250,250,0.8800,0.9836,0.9798,0.7760,0.0160,0.3843,0.5000
exp4_res336,official_val,noise_s010,500,250,250,0.8660,0.9897,1.0000,0.7320,0.0000,0.3577,0.5000
exp4_res336,official_val,jitter_p20,500,250,250,0.8820,0.9748,0.9799,0.7800,0.0160,0.3961,0.5000
exp4_res336,official_val,crop_p80,500,250,250,0.8300,0.9625,0.9661,0.6840,0.0240,0.3519,0.5000
exp1a_unfreeze2,official_val,clean,500,250,250,0.8860,0.9846,0.9662,0.8000,0.0280,0.4125,0.5000
exp1a_unfreeze2,official_val,jpeg_q90,500,250,250,0.8940,0.9836,0.9668,0.8160,0.0280,0.4174,0.5000
exp1a_unfreeze2,official_val,jpeg_q70,500,250,250,0.8880,0.9814,0.9709,0.8000,0.0240,0.4039,0.5000
exp1a_unfreeze2,official_val,jpeg_q50,500,250,250,0.8920,0.9824,0.9712,0.8080,0.0240,0.4074,0.5000
exp1a_unfreeze2,official_val,jpeg_q30,500,250,250,0.8860,0.9789,0.9754,0.7920,0.0200,0.3953,0.5000
exp1a_unfreeze2,official_val,blur_s05,500,250,250,0.8900,0.9874,0.9710,0.8040,0.0240,0.4068,0.5000
exp1a_unfreeze2,official_val,blur_s10,500,250,250,0.8980,0.9922,0.9950,0.8000,0.0040,0.3900,0.5000
exp1a_unfreeze2,official_val,blur_s20,500,250,250,0.8540,0.9912,1.0000,0.7080,0.0000,0.3557,0.5000
exp1a_unfreeze2,official_val,resize_s05,500,250,250,0.8900,0.9918,0.9949,0.7840,0.0040,0.3836,0.5000
exp1a_unfreeze2,official_val,resize_s025,500,250,250,0.8480,0.9898,0.9888,0.7040,0.0080,0.3491,0.5000
exp1a_unfreeze2,official_val,noise_s002,500,250,250,0.8960,0.9773,0.9714,0.8160,0.0240,0.4141,0.5000
exp1a_unfreeze2,official_val,noise_s005,500,250,250,0.9000,0.9801,0.9673,0.8280,0.0280,0.4199,0.5000
exp1a_unfreeze2,official_val,noise_s010,500,250,250,0.8840,0.9799,0.9706,0.7920,0.0240,0.4025,0.5000
exp1a_unfreeze2,official_val,jitter_p20,500,250,250,0.8900,0.9840,0.9803,0.7960,0.0160,0.3971,0.5000
exp1a_unfreeze2,official_val,crop_p80,500,250,250,0.8460,0.9806,0.9727,0.7120,0.0200,0.3647,0.5000
exp1b_unfreeze4,official_val,clean,500,250,250,0.8620,0.9904,0.9840,0.7360,0.0120,0.3671,0.5000
exp1b_unfreeze4,official_val,jpeg_q90,500,250,250,0.8700,0.9890,0.9843,0.7520,0.0120,0.3750,0.5000
exp1b_unfreeze4,official_val,jpeg_q70,500,250,250,0.8480,0.9880,0.9888,0.7040,0.0080,0.3526,0.5000
exp1b_unfreeze4,official_val,jpeg_q50,500,250,250,0.8680,0.9867,0.9792,0.7520,0.0160,0.3850,0.5000
exp1b_unfreeze4,official_val,jpeg_q30,500,250,250,0.8700,0.9852,0.9843,0.7520,0.0120,0.3794,0.5000
exp1b_unfreeze4,official_val,blur_s05,500,250,250,0.8580,0.9917,0.9838,0.7280,0.0120,0.3632,0.5000
exp1b_unfreeze4,official_val,blur_s10,500,250,250,0.8560,0.9934,0.9944,0.7160,0.0040,0.3481,0.5000
exp1b_unfreeze4,official_val,blur_s20,500,250,250,0.8100,0.9888,0.9936,0.6240,0.0040,0.3142,0.5000
exp1b_unfreeze4,official_val,resize_s05,500,250,250,0.8240,0.9920,0.9880,0.6560,0.0080,0.3369,0.5000
